"wis","wwis","c","sdi","n","e","fqi","loc"
2.87307692307692,2.50666666666667,3.71491477272727,0.960022365110428,30,12,21.7039212824737,"prs1"
3.00833333333333,3.37719298245614,4.30833333333333,0.922285744119874,23,9,21.5603904135015,"urr2"
2.26416666666667,2.16221590909091,2.97727272727273,0.931918439368689,21,11,14.9429659836601,"wrpe"
3.04184782608696,2.7827216066482,3.27874331550802,0.952593284638469,33,15,19.4057023286977,"wrpw"
3.34071428571429,3.26311053984576,3.68434343434343,0.948068418314256,27,12,19.1444100624469,"ypw"
3.55661764705882,3.77928571428571,3.38257575757576,0.884460298893498,29,6,18.8438564763758,"spi2"
3.3445652173913,3.6015306122449,3.83225108225108,0.930287718592098,21,3,17.561580666492,"ursp2"
3.47477777777778,3.61777272727273,3.00132575757576,0.929907835924212,27,12,17.3281623406212,"urr1"
3.35086206896552,3.32313253012048,3.68017127799736,0.93100194789384,21,11,18.4708218758087,"mor3"
3.13618421052632,3.13870481927711,3.82344276094276,0.929984524959859,35,4,23.2660722032764,"nwm3"
2.83333333333333,2.42329545454545,3.72,0.914691529458441,23,8,19.391840507308,"hh1"
3.82758620689655,3.844,3.29032258064516,0.866534664830119,31,5,18.319740806731,"hh2"
2.82142857142857,2.29441624365482,4.27272727272727,0.915431987425597,21,7,20.5124816821833,"hm1"
2.48484848484848,2.14958448753463,3.89285714285714,0.920683129330607,27,7,20.9770597805564,"m1"
2.91891891891892,2.83446712018141,3.80645161290323,0.927339945804475,30,7,21.5437539285365,"mm1"
2.37037037037037,1.93636363636364,3.95238095238095,0.919464462809917,21,6,18.1120848895874,"mor1"
3.63157894736842,3.63192182410423,2.5,0.836417716613776,18,2,10.6066017177982,"mr1"
3.48648648648649,3.25730994152047,3.84848484848485,0.916932163808393,33,8,22.1078623063736,"n1"
3.2972972972973,3.28571428571429,3.6,0.918709025978365,29,9,20.0550965231216,"nem1"
2.05128205128205,1.54261954261954,4.52777777777778,0.908666542762177,36,3,27.1666666666667,"nem3"
2.24,1.61307901907357,3.95,0.886189666565199,18,7,18.6204785712458,"nm2"
2.8,2.80952380952381,3.66666666666667,0.931644863289727,18,8,15.556349186104,"nwm1"
2.5,2.07932692307692,4.12121212121212,0.926694249260355,32,4,24.0416305603426,"nwm2"
2.80701754385965,2.75668449197861,3.92727272727273,0.960867850098619,54,6,29.3938769133981,"nwm4"
2.27659574468085,1.75346260387812,4.20454545454545,0.944483237544217,43,4,28.2122355115319,"nwm5"
3.2,2.92084432717678,3.2962962962963,0.930251363723582,26,10,17.4543360272984,"op1"
2.6,2.34394904458599,3.83870967741935,0.915304204362584,30,5,21.7263281143716,"pd1"
3.03225806451613,3.61475409836066,4.34615384615385,0.815573770491802,26,5,22.1611232706148,"r5"
3.48,3.34146341463415,3.21052631578947,0.861475529583638,19,7,13.9943597661043,"sem3"
3.51612903225806,3.4865671641791,3.25,0.920133660057919,24,7,15.9216833280907,"si1"
3,2.8894472361809,3.82608695652174,0.908525037246534,23,7,18.3492684370226,"sm1"
3.3,3.33522727272727,3.60869565217391,0.885927815082645,23,7,17.3066963667372,"tnc1"
3.2,3.25739644970414,3.70588235294118,0.900808795210252,16,4,15.75,"wm2"
2.58823529411765,2.24157303370787,3.48275862068966,0.931889912889787,27,7,19.4374590627174,"wm4"
3.62162162162162,3.19428571428571,3.47058823529412,0.929343105981282,33,5,20.5411634027723,"wr1"
